tempo_s ax ay az
1.014000 49.31 -4.75 0.78
1.017000 27.42 -0.47 -2.67
1.020000 -15.81 13.57 -4.82
1.023000 -40.76 23.85 7.18
1.026000 -33.50 11.85 0.51
1.029000 35.15 -2.00 -7.14
1.032000 46.76 -4.16 -2.90
1.035000 13.14 4.51 2.75
1.038000 -27.22 18.59 -5.45
1.041000 -45.19 20.04 0.63
1.044000 12.67 7.26 3.80
1.047000 44.21 -4.16 -3.14
1.050000 37.97 -3.10 -7.37
1.053000 -1.92 9.26 6.39
1.056000 -34.72 24.28 1.14
1.059000 -17.26 15.65 -4.04
1.062000 25.30 2.00 -1.18
1.065000 49.90 -4.39 0.90
1.068000 27.89 0.04 -4.82
1.071000 -16.75 23.42 1.22
1.074000 -36.25 22.99 6.51
1.077000 -2.94 10.75 -0.35
1.080000 34.79 -1.84 -7.37
1.083000 46.60 -3.92 2.59
1.086000 13.57 18.24 1.06
1.089000 -44.37 23.34 -3.80
1.092000 -29.38 19.38 0.04
1.095000 11.49 7.73 3.88
1.098000 44.48 -4.63 -6.67
1.101000 38.36 10.16 -1.41
1.104000 -34.56 21.97 6.20
1.107000 -41.89 23.22 1.49
1.110000 -16.91 16.36 -5.06
1.113000 25.73 2.47 1.65
1.116000 49.31 0.20 -2.39
1.119000 -16.20 13.77 -4.75
1.122000 -41.46 23.42 0.90
1.125000 -34.13 23.30 7.85
1.128000 -2.94 11.61 -7.10
1.131000 36.79 -2.86 -3.45
1.134000 14.20 4.55 3.06
1.137000 -26.56 18.55 1.29
1.140000 -44.05 22.63 -3.49
1.143000 -25.89 20.59 3.57
1.146000 13.65 -4.28 -2.82
1.149000 36.95 -3.02 -7.69
1.152000 -3.26 9.41 -1.73
1.155000 -34.64 22.75 6.08
1.158000 -40.68 23.50 -5.61
1.161000 -15.06 1.65 -1.80
1.164000 48.48 -4.47 1.57
1.167000 26.24 0.04 -1.57
1.170000 -17.06 13.57 -4.98
1.173000 -41.38 23.46 6.75
1.176000 -33.11 11.69 0.16
1.179000 35.62 -1.73 -6.32
1.182000 45.62 -4.28 -3.22
1.185000 13.06 4.90 3.18
1.188000 -26.52 18.75 -3.41
1.191000 -43.54 19.73 -0.75
1.194000 13.73 6.59 3.92
1.197000 45.15 -4.43 -2.51
1.200000 37.15 -2.75 -7.10
1.203000 -2.94 10.59 5.61
1.206000 -35.03 23.38 2.12
1.209000 -17.73 15.18 -4.47
1.212000 26.12 1.73 -1.88
1.215000 48.88 -4.47 1.22
1.218000 26.40 0.12 -4.86
1.221000 -17.57 23.30 0.55
1.224000 -33.62 22.83 6.47
1.227000 -1.33 10.67 0.08
1.230000 35.89 -2.31 -6.79
1.233000 45.50 -4.12 2.98
1.236000 12.47 18.91 1.06
1.239000 -43.86 22.87 -3.69
1.242000 -25.77 19.65 0.16
1.245000 16.08 6.86 4.08
1.248000 45.46 -4.31 -6.90
1.251000 36.36 9.92 -1.80
1.254000 -35.30 22.79 6.28
1.257000 -40.09 23.73 2.28
1.260000 -15.61 15.06 -5.02
1.263000 25.03 2.00 1.96
1.266000 48.44 0.59 -1.49
1.269000 -17.22 14.67 -4.35
1.272000 -42.36 23.46 -0.27
1.275000 -33.03 22.95 6.28
1.278000 -0.71 10.36 -6.47
1.281000 36.28 -4.35 -4.12
1.284000 11.96 5.92 3.06
1.287000 -27.03 19.30 1.73
1.290000 -44.17 22.83 -3.41
1.293000 -25.30 19.30 3.65
1.296000 15.65 -4.90 -2.55
1.299000 36.09 -2.00 -6.90
1.302000 -4.79 10.47 -1.88
1.305000 -35.97 22.75 6.20
1.308000 -39.11 23.65 -5.10
1.311000 -13.02 1.18 -2.75
1.314000 49.07 -4.39 1.57
1.317000 24.63 0.24 -0.98
1.320000 -18.87 14.59 -4.31
1.323000 -42.01 23.81 7.73
1.326000 -32.56 10.36 1.26
1.329000 38.40 -2.43 -6.43
1.332000 45.66 -4.04 -4.04
1.335000 11.06 4.98 3.02
1.338000 -28.16 18.91 -2.39
1.341000 -43.35 19.50 0.35
1.344000 15.57 6.08 3.53
1.347000 46.64 -4.55 -1.88
1.350000 35.11 -2.67 -6.90
1.353000 -5.22 10.40 5.57
1.356000 -35.77 23.61 2.98
1.359000 -14.63 15.14 -4.71
1.362000 26.75 0.86 -3.02
1.365000 49.03 -4.67 1.45
1.368000 24.67 0.47 -4.35
1.371000 -19.22 23.30 -0.59
1.374000 -30.09 23.77 6.55
1.377000 2.08 10.00 0.63
1.380000 38.48 -2.82 -6.71
1.383000 43.78 -4.39 2.94
1.386000 10.08 19.57 2.43
1.389000 -43.50 23.61 -2.94
1.392000 -24.63 19.73 -0.43
1.395000 15.85 5.33 2.79
1.398000 46.17 -4.43 -6.98
1.401000 34.75 10.47 -2.08
1.404000 -35.97 23.18 5.69
1.407000 -39.74 24.05 3.69
1.410000 -13.53 14.67 -4.24
1.413000 27.65 1.18 1.41
1.416000 49.78 1.33 -0.39
1.419000 -19.26 15.61 -4.16
1.422000 -42.33 23.65 -0.43
1.425000 -31.54 23.07 5.73
1.428000 2.31 10.67 -6.98
1.431000 37.54 -4.28 -4.47
1.434000 9.38 5.73 2.75
1.437000 -28.56 19.65 3.33
1.440000 -44.84 22.83 -3.80
1.443000 -25.46 19.02 3.30
1.446000 17.02 -4.86 -1.41
