tempo_s ax ay az
0.765000 -38.13 13.38 -0.24
0.768000 16.16 8.71 0.86
0.771000 42.87 1.92 2.35
0.774000 29.26 2.20 3.57
0.777000 -8.55 10.32 -0.71
0.780000 -35.74 21.26 -4.12
0.783000 -6.90 9.61 -2.86
0.786000 30.28 1.02 3.41
0.789000 42.91 2.82 0.00
0.792000 14.51 9.73 -3.30
0.795000 -22.05 17.57 -6.51
0.798000 -26.75 17.89 0.63
0.801000 7.85 10.36 -1.06
0.804000 40.01 -0.35 3.77
0.807000 35.97 0.08 -0.39
0.810000 -0.47 21.30 0.20
0.813000 -32.32 19.57 -8.24
0.816000 -14.47 10.71 -1.80
0.819000 22.79 5.53 1.84
0.822000 43.54 3.33 3.84
0.825000 22.71 5.73 -4.12
0.828000 -14.71 18.99 -1.88
0.831000 -31.81 20.87 -0.98
0.834000 -0.16 10.04 -2.47
0.837000 35.38 -1.02 4.12
0.840000 40.76 0.94 1.22
0.843000 7.57 18.79 -2.00
0.846000 -38.13 17.61 -8.63
0.849000 -21.57 14.20 0.08
0.852000 14.75 9.26 0.27
0.855000 42.09 1.57 3.26
0.858000 30.56 10.75 -2.67
0.861000 -35.58 21.38 0.24
0.864000 -35.30 21.18 -5.26
0.867000 -8.24 9.65 -3.10
0.870000 29.07 1.88 -0.31
0.873000 43.15 8.90 3.14
0.876000 16.59 14.28 -3.84
0.879000 -38.52 17.73 -5.53
0.882000 -28.13 18.55 0.59
0.885000 6.43 10.40 4.59
0.888000 39.54 -0.82 0.98
0.891000 37.34 11.02 -0.47
0.894000 -31.77 21.34 -0.43
0.897000 -37.62 18.95 -8.71
0.900000 -16.20 11.14 -1.49
0.903000 21.50 6.39 1.69
0.906000 43.74 4.47 3.96
0.909000 -13.38 10.94 -3.77
0.912000 -37.78 20.08 -1.61
0.915000 -32.95 21.26 -2.35
0.918000 -2.20 9.81 3.84
0.921000 34.44 1.53 0.71
0.924000 9.73 11.18 1.96
0.927000 -26.16 17.85 -2.35
0.930000 -38.80 17.61 -8.36
0.933000 -23.42 15.26 -0.43
0.936000 13.06 0.78 3.10
0.939000 42.36 0.59 3.06
0.942000 -5.37 10.47 -2.16
0.945000 -35.11 21.54 0.20
0.948000 -36.44 20.63 -2.63
0.951000 -10.28 9.85 3.18
0.954000 27.50 3.30 0.35
0.957000 18.71 8.08 3.53
0.960000 -19.02 13.30 -3.88
0.963000 -38.60 17.89 -4.43
0.966000 -29.69 19.69 -1.84
0.969000 3.69 -1.10 4.35
0.972000 39.11 -0.04 1.02
0.975000 3.41 11.49 0.16
0.978000 -30.44 20.79 -0.78
0.981000 -38.09 18.28 -0.90
0.984000 -18.20 7.37 1.29
0.987000 43.62 2.75 1.84
0.990000 27.22 3.30 3.84
