tempo_s ax ay az
0.711000 14.63 8.28 1.53
0.714000 42.99 2.67 5.69
0.717000 31.50 3.65 -1.29
0.720000 -6.90 19.34 -5.30
0.723000 -37.81 18.75 -6.90
0.726000 -10.98 10.79 -2.51
0.729000 27.46 3.88 3.33
0.732000 44.68 2.08 3.10
0.735000 19.14 11.96 -3.45
0.738000 -39.81 17.38 -6.98
0.741000 -31.73 18.12 -4.59
0.744000 1.84 10.67 -0.31
0.747000 37.34 2.55 4.79
0.750000 40.13 9.85 0.39
0.753000 -29.58 17.10 -4.55
0.756000 -39.78 16.71 -8.08
0.759000 -21.81 13.89 -4.43
0.762000 15.38 8.12 5.84
0.765000 43.03 4.00 4.28
0.768000 -7.85 10.67 -1.41
0.771000 -36.91 19.10 -5.18
0.774000 -37.15 18.79 -6.47
0.777000 -10.20 10.98 3.84
0.780000 28.36 2.04 4.67
0.783000 18.12 7.77 2.90
0.786000 -20.01 13.10 -3.53
0.789000 -39.97 17.42 -6.86
0.792000 -30.83 17.81 -0.08
0.795000 2.63 2.39 5.81
0.798000 39.58 1.61 4.82
0.801000 4.47 9.81 0.71
0.804000 -30.48 17.46 -4.20
0.807000 -39.54 16.75 -2.98
0.810000 -21.06 7.88 1.69
0.813000 43.50 2.59 5.77
0.816000 29.93 4.24 4.59
0.819000 -8.79 10.59 -1.41
0.822000 -37.30 19.26 -6.20
0.825000 -37.15 10.75 -1.96
0.828000 29.07 3.61 3.49
0.831000 44.13 1.92 4.59
0.834000 17.34 7.81 2.51
0.837000 -20.87 13.38 -7.49
0.840000 -40.21 17.34 -4.47
0.843000 -30.40 10.43 0.63
0.846000 38.48 2.35 5.61
0.849000 39.15 1.80 4.86
0.852000 3.61 9.85 -4.55
0.855000 -30.83 16.83 -8.20
0.858000 -39.66 12.91 -3.69
0.861000 17.26 7.53 1.88
0.864000 43.62 2.71 5.69
0.867000 29.34 4.31 -1.37
0.870000 -9.57 19.42 -5.45
0.873000 -37.85 18.87 -6.47
0.876000 -8.63 10.75 -2.08
0.879000 29.81 3.26 3.77
0.882000 44.13 1.80 2.55
0.885000 16.12 13.42 -3.80
0.888000 -21.46 17.14 -7.30
0.891000 -30.20 17.57 -4.43
0.894000 4.43 10.40 0.39
0.897000 38.95 2.43 4.86
0.900000 38.83 9.92 0.24
0.903000 2.79 17.85 -4.55
0.906000 -39.58 16.99 -8.04
0.909000 -19.77 12.83 -3.77
0.912000 17.38 7.34 6.00
0.915000 43.58 2.59 4.35
0.918000 28.56 10.90 -1.53
0.921000 -37.81 19.02 -5.49
0.924000 -36.60 18.99 -6.20
0.927000 -7.96 10.32 3.61
0.930000 30.13 3.26 4.71
0.933000 43.97 8.36 2.71
0.936000 -22.16 13.81 -3.80
0.939000 -40.13 17.10 -7.34
0.942000 -29.46 17.26 0.27
0.945000 5.57 10.08 5.84
0.948000 39.34 1.84 4.79
0.951000 1.96 10.04 0.04
0.954000 -31.93 18.16 -4.59
0.957000 -39.42 17.10 -3.61
0.960000 -18.87 12.59 1.92
0.963000 18.83 2.39 5.69
0.966000 27.69 4.79 4.20
0.969000 -11.10 10.98 -1.92
0.972000 -38.05 19.14 -5.73
0.975000 -35.97 18.95 -2.08
0.978000 -7.06 3.06 3.73
0.981000 43.74 1.73 4.63
0.984000 14.87 8.47 2.43
0.987000 -22.63 14.20 -7.49
0.990000 -40.25 16.87 -4.59
0.993000 -28.91 10.28 0.71
0.996000 39.66 2.43 5.84
0.999000 37.74 2.04 4.82
1.002000 0.94 10.32 0.08
1.005000 -32.21 18.28 -7.96
1.008000 -39.46 12.32 -3.57
1.011000 19.69 6.79 2.20
1.014000 44.21 2.63 5.30
1.017000 27.07 5.41 4.20
1.020000 -11.92 11.02 -5.57
1.023000 -38.25 18.99 -5.96
1.026000 -6.28 10.67 -1.53
1.029000 31.62 2.98 4.16
1.032000 43.07 1.69 5.10
1.035000 13.81 8.67 -4.08
1.038000 -23.38 16.79 -7.61
1.041000 -28.16 16.55 -4.31
1.044000 6.79 10.16 0.98
1.047000 39.85 2.51 5.92
1.050000 36.83 2.43 -0.04
1.053000 -0.12 18.67 -4.63
1.056000 -38.99 17.34 -7.77
1.059000 -17.50 12.00 -3.26
1.062000 20.67 6.16 2.31
1.065000 44.05 2.47 4.12
1.068000 25.81 11.18 -1.88
1.071000 -38.52 18.71 -5.65
1.074000 -35.23 19.02 -5.65
1.077000 -5.10 10.71 -1.33
1.080000 32.60 2.51 4.75
1.083000 42.95 8.79 1.88
1.086000 -24.28 14.75 -3.80
1.089000 -40.01 16.63 -7.81
1.092000 -27.22 16.44 -4.16
1.095000 8.04 9.85 5.77
1.098000 40.48 2.39 4.67
1.101000 -1.33 10.12 -0.31
1.104000 -33.58 18.67 -4.90
1.107000 -38.87 17.61 -7.65
1.110000 -16.55 11.61 2.82
1.113000 21.77 2.51 5.33
1.116000 24.67 5.84 3.96
1.119000 -14.04 11.49 -2.47
1.122000 -38.91 18.63 -5.81
1.125000 -35.03 18.95 -1.18
1.128000 -4.12 2.71 4.35
1.131000 42.56 1.49 4.59
1.134000 11.49 9.06 1.77
1.137000 -25.38 15.14 -3.88
1.140000 -40.21 16.40 -3.77
1.143000 -26.44 9.77 0.98
1.146000 41.15 2.51 5.96
1.149000 35.50 2.47 4.79
1.152000 -2.24 10.16 -0.47
1.155000 -34.32 19.06 -7.57
1.158000 -38.83 11.49 -2.79
1.161000 22.83 5.53 2.31
1.164000 44.60 2.43 5.30
1.167000 24.16 6.04 3.80
1.170000 -14.55 11.73 -6.16
1.173000 -39.23 19.14 -5.45
1.176000 -3.30 10.51 -1.02
