tempo_s ax ay az
1.179000 46.72 2.08 2.98
1.182000 31.66 12.47 -1.65
1.185000 -39.70 15.81 -4.59
1.188000 -38.68 16.20 -3.73
1.191000 -10.59 12.40 -0.31
1.194000 31.19 5.18 3.41
1.197000 46.92 6.00 0.59
1.200000 -23.07 15.02 -1.84
1.203000 -44.01 17.65 -3.84
1.206000 -32.21 14.16 -0.71
1.209000 4.43 8.55 3.92
1.212000 41.23 3.80 3.69
1.215000 4.86 8.43 -1.33
1.218000 -32.56 16.00 -3.65
1.221000 -44.44 18.08 -1.69
1.224000 -22.52 15.02 0.39
1.227000 18.75 1.77 3.06
1.230000 32.17 6.04 3.10
1.233000 -9.65 12.36 -1.57
1.236000 -39.19 16.40 -4.00
1.239000 -39.54 16.71 -1.18
1.242000 -10.67 4.71 2.51
1.245000 47.39 1.49 3.14
1.248000 19.89 6.51 0.27
1.251000 -22.67 15.85 -3.69
1.254000 -44.25 18.01 -4.59
1.257000 -32.44 8.90 -0.12
1.260000 39.85 4.20 3.69
1.263000 43.07 3.10 3.57
1.266000 4.90 8.79 -3.02
1.269000 -31.85 18.91 -3.69
1.272000 -44.56 15.30 -2.90
1.275000 18.16 5.96 0.59
1.278000 47.19 2.59 4.04
1.281000 32.48 6.59 -1.73
1.284000 -9.92 16.16 -4.63
1.287000 -39.78 16.40 -4.82
1.290000 -11.10 12.40 -0.55
1.293000 29.73 5.65 3.45
1.296000 47.62 1.92 1.02
1.299000 20.63 15.61 -2.00
1.302000 -21.85 17.34 -4.12
1.305000 -33.03 15.14 -4.00
1.308000 2.82 8.55 -0.67
1.311000 40.36 4.39 3.92
1.314000 43.46 9.06 -0.90
1.317000 6.16 16.55 -3.26
1.320000 -44.37 18.28 -3.53
1.323000 -23.81 15.57 -2.00
1.326000 17.89 6.20 3.61
1.329000 46.25 6.20 3.96
1.332000 -8.51 11.65 -1.57
1.335000 -39.07 15.65 -4.90
1.338000 -39.93 16.83 -4.28
1.341000 -11.61 13.10 2.28
1.344000 28.48 2.00 3.06
1.347000 20.63 6.94 1.26
1.350000 -20.52 15.81 -1.49
1.353000 -45.19 17.81 -3.26
1.356000 -32.48 14.91 -0.67
1.359000 2.43 3.53 5.30
1.362000 42.56 3.45 4.16
1.365000 7.06 7.81 -1.14
1.368000 -30.95 15.85 -3.53
1.371000 -44.25 18.44 -2.63
1.374000 -23.89 5.37 0.31
1.377000 46.37 3.53 4.16
1.380000 33.66 5.61 2.86
1.383000 -7.53 11.65 -1.69
1.386000 -38.68 16.16 -4.16
1.389000 -39.31 13.18 -1.02
1.392000 28.87 4.86 2.75
1.395000 47.62 2.28 2.82
1.398000 22.08 5.77 0.20
1.401000 -20.44 15.30 -3.92
1.404000 -43.27 14.28 -3.80
1.407000 1.65 9.26 -0.39
1.410000 38.72 4.24 3.22
1.413000 43.82 3.30 3.88
1.416000 6.71 8.55 -3.30
1.419000 -30.79 18.08 -3.45
1.422000 -24.44 14.24 -2.94
1.425000 16.44 5.45 -0.08
1.428000 47.03 3.06 3.80
1.431000 33.62 5.73 -1.14
